SORRB, 32, 200, 6618, 116, -1.000000
SORRB, 32, 250, 9229, 143, -1.000000
SORRB, 32, 300, 841930, 168, -1.000000
SORRB, 32, 350, 15730, 193, -1.000000
SORRB, 32, 400, 19804, 219, -1.000000
SORRB, 32, 450, 23270, 243, -1.000000
SORRB, 32, 500, 1194398, 267, -1.000000
SORRB, 32, 550, 37103, 292, -1.000000
SORRB, 32, 600, 1249859, 316, -1.000000
SORRB, 32, 650, 55121, 339, -1.000000
SORRB, 32, 700, 1158056, 363, -1.000000
SORRB, 32, 750, 80877, 386, -1.000000
SORRB, 32, 800, 91954, 409, -1.000000
SORRB, 32, 850, 102056, 432, -1.000000
SORRB, 32, 900, 121549, 452, -1.000000
SORRB, 32, 950, 135735, 478, -1.000000
SORRB, 32, 1000, 151329, 501, -1.000000
